date,open,high,low,close
20141107,6.7,6.9,6.65,6.75
20141106,6.7,6.8,6.65,6.65
20141105,6.7,6.85,6.6,6.65
20141104,6.55,6.6,6.5,6.6
20141103,6.75,6.75,6.5,6.55
20141031,6.65,6.7,6.6,6.65
20141030,6.7,6.75,6.5,6.55
20141029,6.75,6.8,6.7,6.7
20141028,6.55,6.7,6.5,6.7
20141027,6.4,6.65,6.4,6.6
20141024,6.3,6.4,6.3,6.4
20141022,6.2,6.3,6.15,6.25
20141021,6.2,6.25,6.1,6.2
20141020,6.35,6.45,6.2,6.2
20141017,6.8,6.85,6.75,6.85
20141016,6.85,6.95,6.8,6.8
20141015,6.95,7.05,6.9,6.95
20141014,6.9,6.95,6.85,6.95
20141013,7,7.05,6.85,6.95
20141010,6.8,7.1,6.8,7.1
20141009,6.75,6.95,6.7,6.95
20141008,6.6,6.65,6.5,6.6
20141007,6.7,6.8,6.55,6.6
20141006,7.05,7.1,6.65,6.7
20141003,6.95,7,6.85,7
20141002,7.15,7.2,6.95,6.95
20141001,7.25,7.3,7.1,7.2
20140930,7.3,7.3,7.15,7.2
20140929,7.25,7.35,7.2,7.3
20140926,7.3,7.35,7.2,7.25
20140925,7.4,7.45,7.3,7.35
20140924,7.45,7.45,7.3,7.35
20140923,7.5,7.55,7.35,7.4
20140922,7.4,7.55,7.4,7.5
20140919,7.2,7.4,7.2,7.35
20140918,7.15,7.3,7.15,7.2
20140917,7.15,7.2,7.05,7.1
20140916,7.35,7.35,7.15,7.15
20140915,7.35,7.45,7.25,7.3
20140912,7.6,7.6,7.3,7.3
20140911,7.55,7.65,7.45,7.5
20140910,7.4,7.5,7.2,7.45
20140909,7.55,7.65,7.4,7.45
20140908,7.45,7.65,7.4,7.6
20140905,7.55,7.6,7.3,7.4
20140904,7.8,7.8,7.5,7.55
20140903,7.85,7.9,7.8,7.8
20140902,8,8,7.8,7.9
20140901,8,8.05,7.8,7.95
20140829,7.75,8.15,7.65,8
20140828,7.75,7.85,7.55,7.85
20140827,7.55,7.75,7.5,7.75
20140826,7.5,7.55,7.45,7.5
20140825,7.65,7.7,7.5,7.5
20140822,7.5,7.7,7.5,7.65
20140821,7.5,7.5,7.35,7.5
20140820,7.3,7.45,7.25,7.45
20140819,7.3,7.35,7.2,7.25
20140818,7.35,7.35,7.25,7.25
20140815,7.35,7.4,7.25,7.3
20140814,7.35,7.4,7.2,7.3
20140813,7.2,7.3,7.15,7.2
20140808,7,7.15,6.95,7.15
20140807,7.1,7.2,7,7.1
20140806,7.1,7.15,7,7
20140805,6.9,7.2,6.85,7.2
20140804,6.85,6.9,6.75,6.8
20140801,6.65,6.85,6.65,6.8
20140731,6.95,7.15,6.7,6.8
20140730,6.85,7,6.6,7
20140729,7.3,7.35,6.85,6.85
20140728,7.25,7.35,7.15,7.25
20140725,7.15,7.25,7.1,7.15
20140724,7.1,7.2,7.05,7.15
20140723,6.75,7.15,6.7,7.1
20140722,6.9,6.95,6.6,6.7
20140721,6.75,6.9,6.7,6.85
20140718,6.5,6.75,6.45,6.7
20140717,6.55,6.6,6.4,6.5
20140716,6.65,6.7,6.55,6.55
20140715,6.75,6.8,6.6,6.65
20140714,6.75,6.85,6.7,6.75
20140710,6.45,6.9,6.45,6.85
20140709,6.5,6.5,6.4,6.5
20140708,6.55,6.55,6.4,6.5
20140707,6.5,6.55,6.45,6.5
20140704,6.4,6.6,6.4,6.5
20140703,6.4,6.4,6.2,6.35
20140702,6.25,6.45,6.2,6.4
20140630,6.35,6.4,6.25,6.25
20140627,6.4,6.4,6.25,6.35
20140626,6,6.3,5.9,6.3
20140625,5.85,6,5.8,5.95
20140624,5.9,5.9,5.8,5.85
20140623,5.95,6,5.9,5.95
20140620,5.95,6.05,5.85,5.95
20140619,5.75,6.05,5.75,5.95
20140618,5.9,5.95,5.7,5.75
20140617,5.95,6.1,5.85,5.9
20140616,5.95,5.95,5.85,5.9
20140613,5.95,6.05,5.8,5.85
20140612,6.1,6.1,5.95,6
20140611,5.85,6.15,5.85,6.15
20140610,5.75,5.85,5.7,5.85
20140609,5.8,5.85,5.6,5.7
20140606,5.75,5.9,5.7,5.8
20140605,5.7,5.8,5.65,5.75
20140604,5.8,5.8,5.6,5.7
20140603,5.75,5.85,5.65,5.8
20140602,5.5,5.8,5.5,5.65
20140530,5.4,5.5,5.35,5.45
20140529,5.3,5.4,5.25,5.4
20140528,5.1,5.3,5.1,5.3
20140527,5.05,5.15,5.05,5.1
20140526,5.1,5.15,5.05,5.05
20140523,4.98,5.15,4.96,5.1
20140522,5.2,5.25,5.05,5.1
20140521,5.1,5.15,5.05,5.1
20140520,5,5.1,4.96,5.05
20140519,5.2,5.2,5.05,5.05
20140516,5.2,5.3,5.15,5.2
20140515,5.25,5.3,5.15,5.2
