date,open,high,low,close
20141107,20.7,20.8,20.4,20.4
20141106,20.9,21,20.4,20.6
20141105,21.7,21.7,20.7,20.9
20141104,21.6,21.9,21.4,21.5
20141103,21.9,22,21.3,21.4
20141031,21.8,22,21.7,21.8
20141030,21.8,22.1,21.6,21.7
20141029,22.3,22.4,21.6,21.8
20141028,21.9,22.2,21.9,22
20141027,21.5,22,21.4,21.6
20141024,21.4,21.6,21.2,21.2
20141022,21.2,21.4,20.9,21.2
20141021,21,21.1,20.4,20.6
20141020,21.3,21.4,20.7,20.8
20141017,20.6,21.1,20.3,21.1
20141016,20.9,21,20.5,20.5
20141015,21.2,21.3,21,21
20141014,21.2,21.3,21,21
20141013,21,21.3,20.7,21.2
20141010,21.4,21.5,21.1,21.1
20141009,21.8,21.9,21.5,21.7
20141008,21.3,21.9,21.3,21.7
20141007,21.3,21.8,21.1,21.3
20141006,22.2,22.2,21.1,21.1
20141003,21.6,22.3,21.1,22.1
20141002,22.5,22.6,21.5,21.5
20141001,22.5,22.8,21.8,22.7
20140930,22.8,22.8,22.2,22.4
20140929,23.4,23.5,22.7,22.7
20140926,23.2,23.4,22.9,23.2
20140925,23.2,23.6,23.2,23.5
20140924,23.9,23.9,23.1,23.1
20140923,24,24.3,23.7,23.9
20140922,23.7,24.2,23.6,24
20140919,24,24.1,23.7,23.8
20140918,23.6,24.5,23.5,24.1
20140917,23.8,23.9,23.3,23.6
20140916,24.1,24.3,23.6,23.7
20140915,24.1,24.3,23.9,24.2
20140912,24.3,24.4,23.8,24
20140911,24.6,24.9,24.3,24.5
20140910,24,24.8,23.8,24.8
20140909,23.8,24.1,23.4,23.7
20140908,24.3,24.8,23.6,23.7
20140905,23.4,24.4,23.4,24.4
20140904,23.7,23.7,23.2,23.3
20140903,23.6,23.9,23.4,23.8
20140902,23.2,23.8,23,23.6
20140901,23.8,24.1,23,23
20140829,22.5,23.4,22.4,23.4
20140828,21.4,22.2,21.3,22.2
20140827,21.2,21.4,20.8,21
20140826,21.2,21.3,21,21
20140825,21.4,21.4,21.1,21.1
20140822,21.5,21.6,21.2,21.4
20140821,21.5,21.7,21.3,21.4
20140820,21.4,21.4,21,21.3
20140819,21.7,21.7,21.3,21.4
20140818,21.8,22,21.4,21.5
20140815,21.4,21.8,21.4,21.6
20140814,21.2,21.4,21,21.1
20140813,20.1,20.8,20,20.8
20140808,19.6,19.7,19.3,19.5
20140807,19.6,19.7,19.4,19.6
20140806,19.8,19.8,19.5,19.5
20140805,19.9,20,19.6,19.7
20140804,19.6,19.8,19.5,19.8
20140801,19.6,19.7,19.4,19.6
20140731,19.7,20.4,19.7,19.7
20140730,19.7,19.8,19.3,19.7
20140729,20,20.1,19.5,19.6
20140728,20.2,20.3,19.9,19.9
20140725,20.6,20.7,20.1,20.2
20140724,20.3,20.6,20.3,20.4
20140723,19.7,20.2,19.6,20.1
20140722,20,20,19.4,19.6
20140721,19.4,19.9,19.4,19.9
20140718,19.5,19.6,19.2,19.4
20140717,20,20.1,19.5,19.6
20140716,20.2,20.2,20,20
20140715,20.1,20.3,19.9,20.1
20140714,20.3,20.4,19.9,20
20140710,20.6,20.6,20.3,20.4
20140709,20.5,20.7,20.5,20.5
20140708,20.7,20.8,20.5,20.5
20140707,20.8,20.9,20.7,20.7
20140704,20.9,20.9,20.7,20.7
20140703,21,21,20.7,20.8
20140702,21,21.2,20.9,20.9
20140630,20.9,21,20.5,20.5
20140627,20.8,20.9,20.7,20.7
20140626,21.1,21.1,20.7,20.9
20140625,20.9,21.1,20.7,21
20140624,20.8,20.8,20.6,20.8
20140623,21.2,21.3,20.8,20.9
20140620,20.8,21.3,20.7,21.1
20140619,20.6,20.8,20.4,20.6
20140618,20.8,20.9,20.4,20.4
20140617,20.7,20.9,20.7,20.7
20140616,20.7,21,20.6,20.7
20140613,20.8,21,20.6,20.7
20140612,21.7,21.7,21,21
20140611,22,22.4,21.9,21.9
20140610,21.9,22,21.7,21.9
20140609,21.6,22.1,21.6,21.9
20140606,21.7,21.7,21.3,21.3
20140605,21.6,21.7,21.4,21.5
20140604,20.7,21.4,20.7,21.3
20140603,21.1,21.1,20.5,20.6
