date,open,high,low,close
20141107,36.75,36.75,35.5,35.75
20141106,37,37.25,36.5,36.5
20141105,37.5,38.25,36,36.5
20141104,38.5,38.5,37,37.25
20141103,39,39,38.25,38.5
20141031,38.75,39,38.25,39
20141030,38.75,39,38.5,38.5
20141029,38.75,39.25,38.5,38.75
20141028,39,39.75,38.5,38.75
20141027,39.75,39.75,38.5,39.25
20141024,38.5,39,38,38.25
20141022,39,39,37.75,38.75
20141021,38.75,39.25,38.25,38.5
20141020,39.75,40,38.75,39
20141017,40,40.25,39.5,39.75
20141016,40.25,40.5,39.25,40.25
20141015,40.75,41.5,40.25,40.25
20141014,40,40.75,39.5,40.75
20141013,39.75,40.25,39.5,40.25
20141010,40.5,40.75,39.75,40
20141009,39.25,40.75,39,40.75
20141008,38.5,39.25,38.5,39.25
20141007,38.25,39.5,38,39
20141006,39.75,39.75,38,38.75
20141003,39,39.5,38.25,39.5
20141002,39.5,40,39,39
20141001,39.25,40.25,39.25,40
20140930,39.5,39.75,39.25,39.25
20140929,40.5,40.5,39.5,39.75
20140926,40.75,41,40.5,40.5
20140925,40.75,41.25,40.5,40.75
20140924,40.5,41.25,40.5,40.5
20140923,40.75,43.25,40.5,40.5
20140922,41,41,40,40.75
20140919,40.25,41.25,40,40.5
20140918,38.75,40.25,38,39.75
20140917,38.75,38.75,37.75,38
20140916,39.25,39.25,38,38
20140915,37.25,39.5,37.25,39
20140912,37.25,37.75,37,37.75
20140911,38,38.25,37.25,37.5
20140910,38,38.25,37.5,38
20140909,38.5,38.75,38,38.25
20140908,38.75,39.25,38.5,38.5
20140905,39.75,39.75,38.5,38.75
20140904,39,39.5,38.25,39.5
20140903,40.25,40.25,39,39
20140902,37.25,40,37.25,40
20140901,37,37.75,36.5,37
20140829,35.5,36.5,35.25,36.5
20140828,36,36,35.5,35.5
20140827,35.25,36.75,35.25,35.75
20140826,35.5,35.75,35,35.25
20140825,36.25,36.25,35.5,35.5
20140822,36.5,36.5,35.75,36.25
