date,open,high,low,close
20141107,3.44,3.46,3.34,3.34
20141106,3.46,3.48,3.44,3.46
20141105,3.5,3.5,3.44,3.46
20141104,3.5,3.56,3.5,3.5
20141103,3.58,3.58,3.5,3.5
20141031,3.54,3.56,3.5,3.54
20141030,3.52,3.54,3.48,3.52
20141029,3.48,3.54,3.48,3.54
20141028,3.48,3.5,3.48,3.48
20141027,3.48,3.5,3.42,3.48
20141024,3.42,3.48,3.4,3.48
20141022,3.42,3.42,3.38,3.42
20141021,3.4,3.42,3.38,3.42
20141020,3.44,3.44,3.4,3.42
20141017,3.42,3.46,3.38,3.42
20141016,3.4,3.44,3.4,3.42
20141015,3.46,3.5,3.42,3.42
20141014,3.44,3.46,3.4,3.42
20141013,3.5,3.5,3.46,3.46
20141010,3.46,3.5,3.44,3.48
20141009,3.5,3.5,3.46,3.48
20141008,3.38,3.48,3.36,3.48
20141007,3.4,3.42,3.38,3.4
20141006,3.44,3.48,3.42,3.42
20141003,3.44,3.48,3.42,3.46
20141002,3.44,3.5,3.42,3.42
20141001,3.5,3.52,3.48,3.5
20140930,3.44,3.5,3.44,3.5
20140929,3.52,3.54,3.42,3.46
20140926,3.58,3.58,3.52,3.54
20140925,3.52,3.58,3.5,3.56
20140924,3.58,3.58,3.48,3.52
20140923,3.64,3.64,3.56,3.58
20140922,3.7,3.72,3.62,3.62
20140919,3.58,3.68,3.56,3.68
20140918,3.6,3.6,3.56,3.58
20140917,3.52,3.64,3.52,3.62
20140916,3.48,3.54,3.48,3.5
20140915,3.52,3.56,3.46,3.48
20140912,3.58,3.62,3.5,3.52
20140911,3.62,3.64,3.56,3.58
20140910,3.64,3.64,3.58,3.62
20140909,3.66,3.68,3.6,3.66
20140908,3.66,3.7,3.62,3.66
20140905,3.6,3.64,3.58,3.6
20140904,3.62,3.66,3.56,3.56
20140903,3.44,3.62,3.44,3.56
20140902,3.42,3.46,3.42,3.44
20140901,3.48,3.48,3.42,3.42
20140829,3.44,3.48,3.44,3.48
20140828,3.42,3.48,3.42,3.44
20140827,3.44,3.46,3.42,3.42
20140826,3.48,3.52,3.42,3.44
20140825,3.5,3.56,3.48,3.48
20140822,3.52,3.58,3.5,3.5
20140821,3.6,3.6,3.5,3.5
20140820,3.48,3.58,3.42,3.58
20140819,3.42,3.48,3.34,3.48
20140818,3.48,3.48,3.38,3.38
20140815,3.44,3.5,3.42,3.44
20140814,3.46,3.48,3.42,3.44
20140813,3.48,3.52,3.44,3.46
20140808,3.5,3.5,3.46,3.46
20140807,3.5,3.54,3.46,3.48
20140806,3.58,3.6,3.54,3.56
20140805,3.62,3.7,3.56,3.6
20140804,3.54,3.62,3.52,3.6
20140801,3.42,3.52,3.42,3.52
20140731,3.5,3.56,3.48,3.5
20140730,3.62,3.64,3.4,3.54
20140729,3.82,3.82,3.64,3.64
20140728,3.8,3.82,3.74,3.8
20140725,3.88,3.9,3.78,3.8
20140724,3.78,3.88,3.72,3.86
20140723,3.64,3.8,3.64,3.74
20140722,3.64,3.66,3.58,3.58
20140721,3.62,3.68,3.62,3.64
20140718,3.62,3.62,3.58,3.6
20140717,3.6,3.64,3.6,3.6
20140716,3.58,3.62,3.56,3.6
20140715,3.62,3.7,3.56,3.56
20140714,3.56,3.62,3.54,3.58
20140710,3.52,3.54,3.5,3.52
20140709,3.54,3.56,3.46,3.5
20140708,3.58,3.6,3.54,3.54
20140707,3.64,3.66,3.56,3.58
20140704,3.62,3.66,3.62,3.64
20140703,3.7,3.7,3.6,3.6
20140702,3.68,3.72,3.64,3.68
20140630,3.6,3.72,3.6,3.62
20140627,3.42,3.68,3.4,3.58
20140626,3.52,3.54,3.48,3.48
20140625,3.56,3.56,3.46,3.5
20140624,3.38,3.54,3.38,3.54
20140623,3.38,3.4,3.34,3.38
20140620,3.4,3.42,3.36,3.36
20140619,3.4,3.42,3.38,3.38
20140618,3.46,3.5,3.36,3.4
20140617,3.5,3.5,3.46,3.46
20140616,3.46,3.5,3.46,3.46
20140613,3.48,3.5,3.42,3.42
20140612,3.5,3.58,3.46,3.46
20140611,3.44,3.46,3.4,3.4
20140610,3.34,3.46,3.32,3.42
20140609,3.44,3.46,3.32,3.34
