date,open,high,low,close
20141107,60,61,60,60.5
20141106,60.75,60.75,60,60.5
20141105,60.25,61.5,60,60.5
20141104,59.75,60.25,59.75,60.25
20141103,59.5,60.25,59.5,60
20141031,60.75,60.75,60,60.25
20141030,60.5,61.5,60.5,60.75
20141029,60.5,60.75,60.5,60.5
20141028,61.5,61.5,60.75,60.75
20141027,61.5,61.5,61,61.5
20141024,60.75,61.25,60.5,61
20141022,60.5,60.5,60,60.25
20141021,60.25,60.5,59.75,60.25
20141020,60.25,60.75,59.75,59.75
20141017,60.5,60.5,59.25,60
20141016,61.25,61.25,59.75,60
20141015,61,62,60.75,61.5
20141014,61.75,61.75,60.5,60.75
20141013,60.25,61.25,59.25,61.25
20141010,60,60.25,59,60.25
20141009,59.5,60.75,59.5,60.25
20141008,58.25,59.25,58.25,59
20141007,58.75,59.5,58.25,58.75
20141006,62,62.5,58.5,58.5
20141003,59.75,60.5,59,60.5
20141002,62,62,59.25,60
20141001,62.25,62.75,61.75,62
20140930,60.5,61.5,60.5,61.25
20140929,59.75,61,59.75,60.25
20140926,57.75,59,57.75,59
20140925,57.25,58.25,57.25,58
20140924,57.75,58,57.25,57.25
20140923,58.5,58.5,57.25,57.5
20140922,58,58.25,57.75,58.25
20140919,58.25,58.25,57.5,57.75
20140918,58,59.25,58,58
20140917,58.5,59,58,58
20140916,59.25,59.5,58.5,58.5
20140915,59.5,59.75,59.25,59.25
20140912,60.5,60.5,59.25,59.5
20140911,59.5,60.25,59.5,59.75
20140910,59.75,59.75,58.75,59.5
20140909,60,60,59.5,59.5
20140908,60,60,59.5,59.75
20140905,60.25,60.25,59.75,60
20140904,60,60.5,59.75,60
20140903,59.5,60,59.5,60
20140902,60.5,60.5,59.5,59.5
20140901,59.25,60,59,59.75
20140829,57.5,59.25,57.5,58.75
20140828,58,58.25,57.5,57.5
20140827,58,58.5,57.75,58
20140826,58.25,58.75,57,57.5
20140825,58.5,58.75,58,58
20140822,58.5,59.25,58.25,58.25
20140821,58,58.5,57.75,58.5
20140820,56.75,57.5,56.75,57.25
20140819,56.25,56.5,56,56.25
